no.,pcd_name,y_test,y_no_pca,y_with_pca
61,6-0.45-60,16.41,15.403599999999992,15.65299999999999
62,6-0.45-75,16.41,15.583599999999995,15.379399999999993
63,6-0.45-90,16.41,14.86579999999999,14.84239999999999
64,7-0.25-0,12.0,15.223799999999997,15.212999999999996
65,7-0.25-15,12.0,15.321399999999997,15.171999999999999
66,7-0.25-30,12.0,14.617999999999993,14.56299999999999
67,7-0.25-45,12.0,13.718199999999998,13.805999999999992
68,7-0.25-60,12.0,14.537599999999992,14.425399999999991
69,7-0.25-75,12.0,13.699999999999996,13.687599999999993
70,7-0.25-90,12.0,13.666999999999994,13.803999999999997
71,7-0.35-0,12.0,15.758799999999994,14.784799999999997
72,7-0.35-15,12.0,12.915999999999997,12.964400000000001
73,7-0.35-30,12.0,13.5814,13.753000000000002
74,7-0.35-45,12.0,13.4262,13.275600000000003
75,7-0.35-60,12.0,13.613599999999996,13.893200000000002
76,7-0.35-75,12.0,13.6854,13.895399999999997
77,7-0.35-90,12.0,13.504000000000003,13.728599999999998
78,7-0.45-0,12.0,13.067399999999994,12.814799999999998
79,7-0.45-15,12.0,12.249200000000005,12.261800000000004
80,7-0.45-30,12.0,13.103999999999994,13.073199999999993
81,7-0.45-45,12.0,12.150400000000005,12.151400000000002
82,7-0.45-60,12.0,12.228600000000004,12.204200000000005
83,7-0.45-75,12.0,12.382400000000008,12.523400000000006
84,7-0.45-90,12.0,13.088199999999997,13.265999999999995
85,8-0.25-0,13.71,16.03239999999999,16.18379999999999
86,8-0.25-15,13.71,16.46859999999999,16.43019999999999
87,8-0.25-30,13.71,15.97279999999999,15.927799999999989
88,8-0.25-45,13.71,14.134599999999995,14.274399999999993
89,8-0.25-60,13.71,14.111599999999994,14.193599999999995
90,8-0.25-75,13.71,14.157399999999988,14.44459999999999
91,8-0.25-90,13.71,14.218399999999995,14.306799999999992
92,8-0.35-0,13.71,17.30599999999999,17.13139999999999
93,8-0.35-15,13.71,16.019599999999993,16.11259999999999
94,8-0.35-30,13.71,14.577799999999995,14.849799999999995
95,8-0.35-45,13.71,14.611599999999996,14.679199999999994
