no.,name,length,width,area_ratio,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,x,y,z,main_x,main_y,main_z,weight
160,8-0.35-75,135.5064574,125.6702033,0.702091309,0,0,0,0,368,606,253,150,100,55,5,0,-0.00230974,0.010205078,0.327744915,-0.880262403,-0.237119099,-0.410989824,13.71
161,8-0.35-90,144.222051,124.8078523,0.688053857,0,0,0,0,270,647,303,153,67,43,4,0,0.002137205,0.010325773,0.326121599,0.925582256,0.07938659,0.370128702,13.71
162,8-0.45-0,104.0768947,96.0832972,0.763496091,0,0,0,0,245,323,146,72,48,37,14,0,-0.032100736,0.001895486,0.431191505,-0.258995044,-0.842595764,-0.472179994,13.71
163,8-0.45-15,103.247276,96.02603814,0.770190764,0,0,0,0,305,226,160,104,45,36,10,0,-0.023424753,0.005493496,0.431160484,-0.468528985,-0.740740405,-0.481439759,13.71
164,8-0.45-30,104,96.38464608,0.745610297,0,0,0,0,287,288,116,75,56,58,5,0,-0.016059794,0.009740374,0.431469301,-0.582917263,-0.630470729,-0.51255646,13.71
165,8-0.45-45,103.2279032,96.26006441,0.766751651,0,0,0,0,268,317,107,89,54,47,11,0,-0.008239828,0.012537714,0.431445089,-0.718217961,-0.503002016,-0.480782624,13.71
166,8-0.45-60,103.4794666,96.42613754,0.751042886,0,0,0,0,226,352,101,74,67,52,1,0,-0.001181357,0.013219611,0.430856605,-0.793158302,-0.366220148,-0.486603237,13.71
167,8-0.45-75,102.859127,96.15092303,0.718806876,0,0,0,0,129,399,164,79,32,28,3,0,0.003375583,0.013798813,0.429420851,-0.876188212,-0.23472425,-0.420949812,13.71
168,8-0.45-90,102.9611577,95.70788891,0.745266353,0,0,0,0,229,343,115,66,59,46,9,0,0.009662994,0.012688399,0.429343117,0.871054383,0.011052404,0.491062221,13.71
169,9-0.25-0,215.3903433,170.7922715,0.717209767,0,0,0,0,884,1166,813,464,185,43,15,0,-0.026092275,-0.006474783,0.227450631,0.081241927,0.968818436,0.234073892,15.39
170,9-0.25-15,214.2265156,170.6604817,0.727516405,0,0,0,0,927,1088,796,572,229,23,8,0,-0.020701464,-0.004908796,0.228228946,0.291196474,0.923489621,0.249742934,15.39
171,9-0.25-30,212.1320344,170.4142013,0.732829099,0,0,0,0,871,1210,774,516,153,82,24,0,-0.016376664,-0.001622968,0.228636145,-0.530281819,-0.798120524,-0.286015421,15.39
172,9-0.25-45,225.3619311,170.6604817,0.699005132,0,0,0,11,881,1248,694,466,220,96,17,0,-0.01221658,0.000573591,0.229121545,-0.69678994,-0.646912164,-0.309819998,15.39
173,9-0.25-60,231.5210574,170.7922715,0.691998254,0,0,0,4,763,1387,682,406,212,86,16,0,-0.009522207,0.001999691,0.228797723,-0.811181637,-0.51277206,-0.281156837,15.39
174,9-0.25-75,226.4332131,170.2938637,0.693616973,0,0,0,10,705,1283,787,424,238,13,14,0,-0.007599069,0.002925432,0.2276535,-0.919488961,-0.311137982,-0.240277353,15.39
175,9-0.25-90,226.920691,170.6282509,0.691674482,0,0,0,0,802,1348,635,512,165,52,5,0,-0.005348736,0.003858035,0.226295482,0.957680463,0.066300306,0.280093558,15.39
176,9-0.35-0,149.6028075,119.540788,0.75364981,0,0,0,0,434,564,373,206,117,27,1,0,-0.027884246,-0.003405074,0.329823866,-0.104563665,-0.967485408,-0.230300727,15.39
177,9-0.35-15,163.1349135,119.5700631,0.753663533,0,0,0,0,418,617,335,228,93,33,7,0,-0.021267921,-0.000581845,0.330641019,-0.414665947,-0.868183237,-0.272598641,15.39
178,9-0.35-30,158.3982323,119.503138,0.768764014,0,0,0,0,402,651,280,243,82,37,13,0,-0.016050305,0.002124792,0.330508382,-0.543213946,-0.780664207,-0.309001626,15.39
179,9-0.35-45,162.9294326,118.5116028,0.742295254,0,0,0,0,440,625,280,183,102,75,10,0,-0.009125467,0.00453422,0.331077676,-0.709773747,-0.612639816,-0.347697691,15.39
180,9-0.35-60,157.492857,118.9033221,0.734256582,0,0,0,0,438,598,326,166,133,46,5,0,-0.005213628,0.006149555,0.330524852,-0.829845345,-0.438686963,-0.344833949,15.39
181,9-0.35-75,149.2715646,118.1524439,0.770434539,0,0,0,0,357,658,307,248,92,22,1,0,-0.001444994,0.007228241,0.329968605,-0.922852639,-0.289042269,-0.254553675,15.39
182,9-0.35-90,152.9705854,118.2581921,0.743337839,0,0,0,0,319,692,347,181,92,31,6,0,0.00251894,0.006110167,0.32885508,0.965125845,0.061641853,0.2544256,15.39
183,9-0.45-0,118.92855,92.0271699,0.792441399,0,0,0,0,331,261,191,117,69,48,4,0,-0.029489011,0.000101083,0.431268936,-0.161298968,-0.92295514,-0.349480262,15.39
184,9-0.45-15,119.0378091,91.26883367,0.816056637,0,0,0,0,310,307,156,93,69,47,4,0,-0.022357102,0.004103378,0.430999214,-0.36644046,-0.858886478,-0.357820355,15.39
185,9-0.45-30,123.0365799,90.50966799,0.783494971,0,0,0,0,317,315,150,113,78,39,6,0,-0.014456733,0.006260303,0.43115028,-0.618327275,-0.677519675,-0.398294453,15.39
186,9-0.45-45,124.8679302,91.58602513,0.76301853,0,0,0,0,220,359,194,105,63,23,0,0,-0.007051207,0.009768575,0.430473851,-0.715452901,-0.605966866,-0.347751783,15.39
187,9-0.45-60,117.6435294,91.39474821,0.763578816,0,0,0,0,240,368,164,97,60,45,1,0,-0.000722385,0.010118726,0.429065444,-0.807650348,-0.421607828,-0.4122472,15.39
188,9-0.45-75,114.2147101,90.19977827,0.796630485,0,0,0,0,213,393,147,95,64,37,2,0,0.00402327,0.010380157,0.428323458,-0.892392999,-0.247741103,-0.377172481,15.39
189,9-0.45-90,118.2581921,90.60905032,0.750611571,0,0,0,0,253,335,179,97,74,34,1,0,0.008511055,0.008448753,0.427744128,0.926901621,0.046841727,0.372369759,15.39
190,10-0.25-0,190.1289036,161.9691329,0.75034875,0,0,0,0,447,1161,632,283,172,29,0,0,-0.025285065,-0.002626285,0.226550824,0.105962406,0.944702875,0.310336022,11.6
191,10-0.25-15,188.7670522,160.6113321,0.757566569,0,0,0,0,507,1218,470,350,113,79,12,0,-0.018502273,-0.000352332,0.227644559,-0.370941035,-0.856077044,-0.359909494,11.6
192,10-0.25-30,189.2141644,160.580198,0.734299788,0,0,0,16,439,1136,655,298,110,39,16,0,-0.01440738,0.000576197,0.227633396,-0.586850443,-0.742969686,-0.321873583,11.6
193,10-0.25-45,189.2353033,158.8238017,0.751919719,0,0,0,0,293,1343,541,316,99,40,8,0,-0.009218623,0.002376366,0.227532226,-0.70076071,-0.623498389,-0.346675909,11.6
194,10-0.25-60,188.0957203,160.0499922,0.747092186,0,0,0,13,436,1145,568,280,146,20,6,0,-0.005709344,0.003558011,0.227566402,-0.835158044,-0.445676953,-0.322309005,11.6
195,10-0.25-75,185.5262785,160.7015868,0.758359208,0,0,0,0,305,1269,641,288,118,22,7,0,-0.003534599,0.004160871,0.226830625,-0.922263814,-0.240983045,-0.302252593,11.6
196,10-0.25-90,189.8973407,161.245155,0.730143074,0,0,0,2,350,1216,619,282,114,19,0,0,-0.001173723,0.004254322,0.225839536,0.948416598,0.041987654,0.314233979,11.6
197,10-0.35-0,136.3084737,112.5388822,0.783181059,0,0,0,0,179,683,222,106,82,31,12,0,-0.02660421,0.000343211,0.329547017,-0.209548247,-0.898233951,-0.386348679,11.6
198,10-0.35-15,135,115,0.815201288,0,0,0,0,173,660,247,167,43,21,10,0,-0.018712306,0.002318862,0.329615619,-0.578172543,-0.710401167,-0.401306232,11.6
199,10-0.35-30,134.3502884,111.0180166,0.789189489,0,0,0,0,263,591,205,134,103,33,1,0,-0.012161217,0.005457923,0.33059673,-0.62896761,-0.662548549,-0.406729843,11.6
200,10-0.35-45,132.7742445,113.1591799,0.77585965,0,0,0,0,308,527,230,96,72,54,11,0,-0.006145885,0.006303603,0.330274037,-0.761343196,-0.444855133,-0.47165713,11.6
201,10-0.35-60,131,111,0.791898769,0,0,0,0,230,561,226,124,86,26,2,0,-0.000287629,0.007632261,0.328713587,-0.822878032,-0.366297377,-0.434393803,11.6
202,10-0.35-75,131.1373326,112.044634,0.790227642,0,0,0,0,92,638,300,116,53,9,0,0,0.002716315,0.006950107,0.327307334,-0.906438843,-0.225670829,-0.356989217,11.6
203,10-0.35-90,131.4838393,111.3597773,0.772025096,0,0,0,0,89,705,266,86,62,14,2,0,0.005821398,0.005659397,0.32673123,0.932383438,-0.002743192,0.361460371,11.6
204,10-0.45-0,101,86,0.823739351,0,0,0,0,197,300,81,58,42,37,16,0,-0.028864537,0.005157315,0.430953961,-0.287368183,-0.788466662,-0.543819686,11.6
205,10-0.45-15,101,85,0.82446127,0,0,0,0,187,281,103,55,47,33,8,0,-0.019508611,0.007926919,0.431867553,-0.42074074,-0.755609661,-0.50202716,11.6
206,10-0.45-30,100.1299156,85.98837131,0.806038706,0,0,0,0,222,277,78,87,57,35,8,0,-0.011607414,0.010519234,0.432813545,-0.674261499,-0.502196256,-0.541452077,11.6
207,10-0.45-45,100.0899595,84.86459804,0.808326333,0,0,0,0,163,311,104,68,38,36,5,0,-0.003737675,0.011042678,0.431892654,-0.744062558,-0.437784935,-0.504693234,11.6
208,10-0.45-60,101,84,0.813413484,0,0,0,0,95,370,115,57,28,29,5,0,0.003215073,0.013256429,0.430216378,-0.828803669,-0.316294679,-0.461564898,11.6
209,10-0.45-75,100,84,0.820357143,0,0,0,0,136,344,107,56,34,34,6,0,0.008565938,0.011227137,0.429911011,0.864394115,0.144464678,0.481614754,11.6
210,10-0.45-90,99.74467404,85.42833254,0.797791703,0,0,0,0,77,351,127,75,30,12,2,0,0.013195021,0.009905525,0.428641893,0.900454286,-0.047811725,0.432314837,11.6
211,11-0.25-0,200.2423532,172.0116275,0.749419063,0,0,7,63,416,1176,904,390,140,15,0,0,-0.025763321,-0.000366625,0.229309518,0.249526622,0.915129621,0.316661085,13.06
212,11-0.25-15,198.4363878,172.0465053,0.758956712,0,0,24,69,546,999,842,457,117,34,0,7,-0.018547313,0.001694366,0.229842489,0.476169092,0.806033926,0.351528529,13.06
213,11-0.25-30,197.8408451,171.5925406,0.754830623,0,0,20,94,484,1000,851,464,80,54,0,0,-0.014045073,0.003431251,0.230054312,-0.665169408,-0.660879212,-0.347546149,13.06
214,11-0.25-45,198.1766888,171.7672844,0.738125719,0,0,0,39,444,1241,746,442,128,14,0,0,-0.008786323,0.004705865,0.229389254,-0.786191413,-0.528385325,-0.320487146,13.06
215,11-0.25-60,198.2851482,171.8138528,0.745153787,0,0,0,30,471,1175,787,446,112,32,0,0,-0.004035161,0.005176805,0.229266204,-0.88370393,-0.354805775,-0.305254363,13.06
216,11-0.25-75,196,170,0.759213685,0,0,21,90,728,1086,727,503,199,76,0,0,-0.002709852,0.005220747,0.229487181,0.950381346,0.148594807,0.273303643,13.06
217,11-0.25-90,204.4627105,173.0780171,0.752938839,0,0,10,120,446,984,966,503,94,12,0,0,0.000871153,0.004692702,0.22762935,0.948571661,-0.020209435,0.315916733,13.06
218,11-0.35-0,143.0314651,121.9385091,0.809871262,0,0,0,0,204,704,375,188,61,15,0,0,-0.027470788,0.002673654,0.3322381,-0.278786937,-0.907792879,-0.313352728,13.06
219,11-0.35-15,142.1442929,120.9338662,0.807617942,0,0,0,0,333,641,268,195,94,37,0,0,-0.018950178,0.005889809,0.333288054,-0.604908685,-0.685339229,-0.405457303,13.06
220,11-0.35-30,145.1137485,122.6417547,0.827554985,0,0,0,0,214,755,275,172,64,36,0,0,-0.013036513,0.007879172,0.333079852,0.690001878,0.630082676,0.35622076,13.06
221,11-0.35-45,143.2794472,122.0901306,0.817698207,0,0,0,0,235,651,336,167,92,19,0,0,-0.006202504,0.009026534,0.333004507,-0.812718105,-0.468451538,-0.34647141,13.06
